Name	Importance
CD4Tcells	0.19187092309238585
Basophils	0.08534976711533762
Naive B cells	0.0817838565306866
Intermediate_Monocytes	0.0625683313544678
non-pDCs	0.05182787827367625
NaiveCD8	0.0400651969820036
TemraCD8	0.02950773500635875
B cells (CD19+CD3-CD14-CD56-)	0.029407701788747048
Bcells	0.026230507114400715
Memory B cells	0.026118448901891186
B cells (CD19+CD20+CD3-CD14-CD56-)	0.025898954925828273
Monocytes	0.025662116031532397
pDC	0.024550998313271028
CD3CD19neg	0.022887142214949245
NK	0.021468734768121337
CD3-CD19-CD56- cells	0.02104505530250347
CD3-CD19-CD56-CD14-CD16-CD123-CD11c-HLA-DR+cells	0.01943245275834383
CD4+CD8+ T cells	0.01884150693128883
CD4-CD8- T cells	0.017311934646523083
TemraCD4	0.017030836595661722
CD8Tcells	0.015999278156747364
TemCD4	0.013787506188365104
Activated B cells (ABCs)	0.013520175018602528
Proliferating B cells	0.010659680957357634
Activated granulocytes	0.008383320543262678
CD3 Tcells	0.007345655646700462
TcmCD4	0.005922815647590444
Conventional dendritic cells (cDCs)	0.00578822040114331
NaiveCD4	0.005781627844038817
CD56high NK cells	0.004180837080932084
P01374	0.003738333692746992
Non-Classical_Monocytes	0.003558352162683228
IgG2_PRN	0.003095923711963923
CD56+CD3+T cells	0.0026204990532382854
P13500	0.0023941295666700395
cDC1	0.0022558406296951084
TemCD8	0.0021745700605168765
Lineage negative cells (CD3-CD19-CD56-HLA-DR-CD123-CD66b-)	0.001863650162718859
cDC2	0.001837754597362178
P80098	0.0017230564890474151
P13232	0.001568231083371747
P80075	0.0015152518484331107
IgG2_TT	0.0015114501822025628
P01135	0.0014083957982786244
P02778	0.0013574918682224232
P49771	0.0013172974914963038
P01133	0.0012915318989565304
TcmCD8	0.0011898517182348228
IgG1_PRN	0.0011871678678449908
P50591	0.0011477797397827913
P60568	0.0011288866557181661
P05112	0.0011227296010886943
Classical_Monocytes	0.0010517475374960258
O14625	0.0010415663928412134
Q96PD4	0.0010182678674593092
IgG4_OVA	0.0009979095711944747
P09919	0.0009471222147652204
age	0.0009012747600265382
IgG1_OVA	0.0008547687461153594
IgG2_PT	0.0007589901677630265
IgG_PT	0.0007528149867035067
Q8NEV9_Q14213	0.0007444528947321077
IgG2_FHA	0.0007213324974545552
P22301	0.0007088623216435966
P10145	0.0006810604075462236
IgG1_FHA	0.0006753770176260957
IgG_PRN	0.0006518750368875858
P05231	0.0006335467350647668
Q969D9	0.0006261612102269579
IgG3_FIM2/3	0.0006210091872161436
IgG1_TT	0.0006185908579345846
Q99616	0.0005962331297028973
IgG1_DT	0.0005817414170767561
IgG4_FIM2/3	0.0005476913743862962
IgG3_TT	0.0005133947486079921
IgG4_PT	0.0004922125591898883
P01375	0.0004915267969353835
O43508	0.00047159755642526874
IgG2_FIM2/3	0.00043558672334011525
P51671	0.00042394366209822713
IgG3_DT	0.0004181186859825465
IgG4_TT	0.0003897001213174555
IgG4_FHA	0.0003859700095105976
P13236	0.000385751080594779
IgG_FHA	0.00037488609494839496
Q07325	0.00036214572938357065
P78380	0.0003588828123636347
IgG4_DT	0.0003509733926630617
NK cells (CD3-CD19-CD56+)	0.00035011204273958333
Q99731	0.00033317938741261763
IgG2_OVA	0.00032441526630870734
Q16552	0.00031434048442973144
P09603	0.00028890685589193525
IgG4_PRN	0.000256235745097879
P04141	0.000246290364470058
P03956	0.0002398618506840473
P15692	0.00023561570274099091
P10147	0.00023468120984718288
O95760	0.0002334368394783453
Q14116	0.00022920663807065697
IgG1_PT	0.0002276487459321624
P01584	0.00022711554344242838
P39900	0.00022527467442126403
P48061	0.0002146647616641555
IgG3_PT	0.00020621300491209014
IgG3_FHA	0.00019987274995366403
P35225	0.00019343957441333938
P13725	0.0001827784318040369
biological_sex	0.00017511092136404213
P01579	0.00017484587886562022
IgG3_PRN	0.00014675385341480766
IgG2_DT	0.00014404631023368853
IgG1_FIM2/3	0.0001365236841477325
Q9P0M4	0.00012182367131673463
P14210	0.00011507966734742724
P40933	0.00010157572598345551
IgG3_OVA	5.988279667151016e-05
infancy_vac	3.6609298723144556e-05
